00_Reference Planes
00_Scope Boxes
01_Architecture
02_Facade
03_Fitout
04_Rooms
10_Site
11_Landscape
12_Massing
20_Structure
30_MEP
XX_Link DWG Misc
XX_Link DWG Survey
XX_Link RVT Container
XX_Link RVT Elecectrical
XX_Link RVT Fire Services
XX_Link RVT Hydraulic
XX_Link RVT Mechanical
XX_Link RVT Structure
